hwID,utcTime,sourceID,bucketCamera,d2Dmode,LED1,LED2,rearCamera,leftCamera,rightCamera,comments,statusCalc,lastRevisionDate,lastRevisionBy,alarmRateMTDL,alarmRateLSM,totalLogsMTDL,totalLogsLSM,totalCycles,Is2D,totalLogsFM,totalLogsWM,stereoCamera,lcsStatus,hasLCS,LEDLights,faultyLED,hwStatusMC,hwStatusNonMC,MainStatusMC,MainStatusNonMC,customerDiagnostic
3049,"Mon, 08 Apr 2024 02:05:27 GMT",052-220718 - IBO EX8388,1,TRUE,0,5,0,0,0,"[Mark Watters][Mon, 08 Apr 2024 02:05:11 GMT]",AVERAGE,Mon Apr 08 2024 10:05:27 GMT+0800 (Australian Western Standard Time),Mark Watters,0%,0%,16,11,7,NULL,N/A,15,,1,TRUE,,,GOOD,GOOD,AVERAGE,,
3052,"Mon, 08 Apr 2024 02:15:26 GMT",IBO EX2619,1,FALSE,0,5,0,0,0,"[Mark Watters][Mon, 08 Apr 2024 02:15:15 GMT]",AVERAGE,Mon Apr 08 2024 10:15:26 GMT+0800 (Australian Western Standard Time),Mark Watters,N/A,N/A,N/A,N/A,N/A,NULL,N/A,0,,1,TRUE,,,GOOD,GOOD,AVERAGE,,
,,,,,,,,,,Colour feed is blurry.,,,,,,,,,,,,,,,,,,,,,
3091,"Mon, 08 Apr 2024 11:14:30 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,0,0,Bucket Camera need to be cleaned.,AVERAGE,Mon Apr 08 2024 13:14:30 GMT+0200 (South Africa Standard Time),Jakkie Page,0%,0%,223,217,228,NULL,82,69,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
3178,"Wed, 10 Apr 2024 05:57:46 GMT",IBO EX2619,1,FALSE,0,5,0,0,0,"[Mark Watters][Wed, 10 Apr 2024 05:57:06 GMT]",AVERAGE,Wed Apr 10 2024 13:57:46 GMT+0800 (Australian Western Standard Time),Mark Watters,N/A,N/A,N/A,N/A,N/A,NULL,N/A,0,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
3181,"Wed, 10 Apr 2024 06:10:31 GMT",052-220718 - IBO EX8388,1,TRUE,0,5,0,0,0,"[Mark Watters][Wed, 10 Apr 2024 06:09:59 GMT]",AVERAGE,Wed Apr 10 2024 14:10:31 GMT+0800 (Australian Western Standard Time),Mark Watters,N/A,N/A,N/A,N/A,N/A,NULL,N/A,0,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
,,,,,,,,,,Alarm rate high. Digging boggy material,,,,,,,,,,,,,,,,,,,,,
3216,"Wed, 10 Apr 2024 12:44:01 GMT",047-220718- MPM FS117,1,FALSE,0,0,0,0,0,Bucket Camera need to be cleaned.,AVERAGE,Wed Apr 10 2024 14:44:01 GMT+0200 (South Africa Standard Time),Jakkie Page,0%,0%,356,351,371,NULL,224,23,,0,FALSE,,,GOOD,GOOD,AVERAGE,,
3272,"Thu, 11 Apr 2024 03:08:22 GMT",IBO EX2619,1,FALSE,0,5,0,0,0,"[Mark Watters][Thu, 11 Apr 2024 03:08:20 GMT]",AVERAGE,Thu Apr 11 2024 11:08:22 GMT+0800 (Australian Western Standard Time),Mark Watters,N/A,N/A,N/A,N/A,N/A,NULL,N/A,0,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
3273,"Thu, 11 Apr 2024 03:10:49 GMT",052-220718 - IBO EX8388,1,TRUE,0,5,0,0,0,"[Mark Watters][Thu, 11 Apr 2024 03:10:32 GMT] Right Mono dirty. LCS fitted but not keeping lenses clean. Likely an LCS issue with water dripping on lenses post air cycle. LCS has been switched off to test if lenses will stay clean without it. Fuse had blown for LCS supply also.",AVERAGE,Thu Apr 11 2024 11:10:49 GMT+0800 (Australian Western Standard Time),Mark Watters,N/A,N/A,N/A,N/A,N/A,NULL,N/A,0,,0,TRUE,,,GOOD,GOOD,AVERAGE,,
